HIP,RA,Dec,pmRA,pmDec
64238,197.48746449,-5.53900959,-35.08,-32.8
65936,202.76106938,-39.40730717,-15.65,-11.25
66006,202.99118799,-6.25581614,-103.8,-43.4
66098,203.24197067,-10.16499993,-30.72,-37.96
66249,203.67330011,-0.59582018,-278.89,48.56
68002,208.88494064,-47.28837511,-57.14,-44.75
68245,209.56777521,-42.10075343,-23.68,-19.82
68282,209.66978489,-44.80358412,-27.97,-21.69
70090,215.13929846,-37.88529479,-64.5,-11.39
70104,215.17742387,-45.18706031,37.17,-73.61
70300,215.75932876,-39.511819,-24.32,-21.81
72105,221.24674043,27.07422244,-50.65,20.0
74376,227.98364862,-48.73781871,-96.52,-47.97
74392,228.05537543,-19.79171054,-35.59,-32.55
74395,228.071229,-52.09924722,-113.94,-71.0
76219,233.54458663,-10.06452866,305.62,-234.12
76267,233.67195048,26.71469302,120.38,-89.44
76276,233.70061304,10.53886686,-72.63,3.17
76297,233.78519974,-41.166757,-16.05,-25.52
76333,233.88157906,-14.78953681,65.67,6.93
76470,234.25604093,-28.13507945,-13.26,-3.48
78265,239.71297035,-26.11410529,-12.0,-25.71
78384,240.03053401,-38.39670656,-16.58,-27.06
78401,240.08335942,-22.62170993,-8.67,-36.9
78493,240.36068726,29.85106144,-38.2,-6.9
78527,240.47227393,58.56525152,-320.07,334.96
78554,240.57371658,22.80445386,4.57,24.04
78592,240.69957561,46.03670491,56.01,-61.25
80331,245.9978587,61.51421312,-16.98,56.68
80343,246.02576647,-20.03732689,-21.48,-47.53
80463,246.35397192,14.03326957,39.39,-59.89
80473,246.39632325,-23.4471785,-5.61,-25.04
80569,246.75597864,-18.45625099,-5.58,-22.22
80628,246.95078039,-8.37173117,-67.26,-12.6
82396,252.54088739,-34.29323171,-611.83,-255.87
82514,252.96763467,-38.04737967,-8.84,-21.6
82671,253.49886208,-42.36202495,-0.48,-2.17
82673,253.5019647,10.1653591,-53.75,-34.68
84379,258.75796073,24.83920414,-21.14,-157.68
84380,258.76180979,36.80916183,-27.35,2.7
84405,258.83740933,-26.60282934,-473.69,-1143.93
84606,259.41772717,37.29149825,-42.74,63.76
86414,264.86619338,46.00633181,-7.17,3.97
86565,265.35363893,-12.8753069,-72.16,-55.22
86614,265.48482361,72.14884347,26.6,-269.77
86670,265.62197877,-39.02998302,-6.49,-25.55
86736,265.85747282,-21.68319399,-97.93,-44.57
86742,265.86813797,4.56730281,-40.67,158.8
88601,271.36368986,2.50009948,124.56,-962.66
88635,271.45202872,-30.42409129,-55.75,-181.53
88714,271.65779638,-50.09147713,-8.43,-9.26
88771,271.83743427,9.56384719,-61.6,79.71
88794,271.88562777,28.7624885,-0.17,7.51
90887,278.08887918,-39.70400085,31.98,-37.62
90905,278.1438443,57.04559904,0.32,-7.09
92630,283.11346085,-46.59511911,29.04,0.14
92761,283.54240472,-22.74483405,2.95,-5.7
92782,283.59939447,71.29719191,48.59,42.11
92791,283.62618249,36.8986131,-6.73,3.26
92855,283.81635716,-26.29672225,13.87,-52.65
92946,284.0549266,4.20359514,37.69,26.98
94643,288.88511604,-25.25668251,47.56,-31.16
94648,288.88773438,73.35546795,-116.6,104.25
94713,289.09206275,38.13373077,-0.49,1.23
94779,289.27570325,53.36845943,60.22,122.93
94820,289.40866411,-18.95290801,-10.05,-10.64
96665,294.79850601,5.39777322,2.08,-3.78
96683,294.84419004,30.15332117,1.95,36.07
96757,295.02413251,18.01389046,15.09,-19.72
96808,295.18076475,-16.29326756,69.65,-50.2
96837,295.26224687,17.47604116,9.06,-33.9
98823,301.03464661,7.27796579,14.24,12.97
100881,306.83004095,-18.21172075,10.32,-10.87
101027,307.21505826,-17.8136869,-15.79,-7.66
101093,307.3953547,62.99410487,45.0,-13.31
101123,307.47461485,-18.58317785,25.56,-79.45
101138,307.51475272,48.95156896,10.01,7.64
102978,312.95537911,-26.91913259,-7.97,-2.54
103045,313.16347329,-8.98331781,47.06,-32.91
103127,313.4174407,-39.8098646,44.22,-97.24
104858,318.62006328,10.00698105,42.32,-303.43
104887,318.69788169,38.045317,195.74,410.02
104963,318.90791711,-20.65169596,15.39,-2.24
104987,318.9559653,5.24784463,59.63,-94.33
105102,319.35397027,39.39468139,0.43,-3.61
105140,319.48451988,-32.17253927,55.46,-22.12
105199,319.64488119,62.58557261,149.91,48.27
106944,324.88860753,2.2435584,-32.7,-84.17
