Name,PtolLon,PtolLat,HIP
33,33.666666666666664,5.0,17954
34,25.0,-17.5,16852
35,50.0,-2.0,23497
36,54.0,-1.75,24822
37,56.0,-2.0,25539
38,59.0,-6.333333333333333,25945
39,59.0,-7.666666666666667,26777
40,57.0,0.6666666666666666,26248
41,59.0,1.0,26640
42,61.0,1.3333333333333333,27468
43,62.333333333333336,3.3333333333333335,27830
44,63.333333333333336,1.25,28237
1,83.33333333333333,9.5,36850
2,86.66666666666667,6.25,37826
3,76.66666666666667,10.0,33018
4,78.66666666666667,7.333333333333333,34693
5,82.0,5.5,36046
6,84.0,4.833333333333333,36962
7,86.66666666666667,2.6666666666666665,37740
8,81.66666666666667,2.6666666666666665,35846
9,83.16666666666667,0.3333333333333333,36238
10,73.0,1.5,32246
11,78.25,-2.5,34088
12,81.66666666666667,-0.5,35550
13,81.66666666666667,-6.0,35350
